3,3.05
3.6,3
4,2.72
5,2.33
6,2.02
7,1.87
8,1.57
9,1.4
10,1.29
12,1.08
14,0.928
16,0.815
18,0.725
20,0.67
25,0.5
30,0.42
35,0.38
40,0.31
